"","Colony.ID","Treatment","Season","Lat","Lon","exp"
"1","1","shade","summer",34.69759,-120.04996,TRUE
"2","2","water","summer",34.69756,-120.04981,TRUE
"3","3","control","summer",34.69747,-120.04981,TRUE
"4","4","shade","summer",34.69728,-120.04974,TRUE
"5","5","water","summer",34.69725,-120.04968,TRUE
"6","6","control","summer",34.69735,-120.04949,TRUE
"7","7","shade","summer",34.69727,-120.04945,TRUE
"8","8","water","summer",34.69715,-120.04919,TRUE
"9","9","control","summer",34.69692,-120.04934,TRUE
"10","10","shade","summer",34.69697,-120.04914,TRUE
"11","11","water","summer",34.69695,-120.04874,TRUE
"12","14","control","summer",34.69664,-120.04864,TRUE
"13","15","shade","summer",34.69665,-120.04845,TRUE
"14","16","water","summer",34.69645,-120.04852,TRUE
"15","27","control","summer",34.69715,-120.04846,TRUE
"16","20","shade","summer",34.69757,-120.04898,TRUE
"17","39","shade","summer",34.69781,-120.04895,TRUE
"18","38","shade","summer",34.69788,-120.04902,TRUE
"19","31","shade","summer",34.69729,-120.04858,TRUE
"20","23","shade","summer",34.69705,-120.04848,TRUE
"21","29","water","summer",34.69754,-120.04885,TRUE
"22","40","water","summer",34.69779,-120.04892,TRUE
"23","37","water","summer",34.6979,-120.04908,TRUE
"24","28","water","summer",34.69722,-120.04857,TRUE
"25","22","water","summer",34.69709,-120.04851,TRUE
"26","19","control","summer",34.69765,-120.04902,TRUE
"27","41","control","summer",34.69779,-120.04885,TRUE
"28","35","control","summer",34.69787,-120.0492,TRUE
"29","30","control","summer",34.6973,-120.04863,TRUE
"30","21","control","summer",34.69699,-120.04851,TRUE
"31","934","water","fall",34.69686,-120.04808,TRUE
"32","25","water","fall",34.69696,-120.0482,TRUE
"33","915","water","fall",34.69739,-120.04772,TRUE
"34","913","water","fall",34.69766,-120.04788,TRUE
"35","902","water","fall",34.69626,-120.04731,TRUE
"36","901","shade","fall",34.69609,-120.04737,TRUE
"37","26","shade","fall",34.69711,-120.04828,FALSE
"38","920","shade","fall",34.69773,-120.04799,TRUE
"39","919","shade","fall",34.69754,-120.04774,FALSE
"40","908","shade","fall",34.69684,-120.04793,TRUE
"42","910","control","fall",34.69667,-120.04755,TRUE
"43","917","control","fall",34.69716,-120.04841,TRUE
"44","921","control","fall",34.69791,-120.04784,TRUE
"45","914","control","fall",34.69754,-120.04756,TRUE
"47","904","control","fall",34.69731,-120.048,TRUE
